zip_code,latitude,longitude
60482,41.68737,-87.79239
60484,41.44317,-87.70948
60487,41.56236,-87.83095
60490,41.67575,-88.14118
60491,41.60313,-87.9595
60501,41.77979,-87.82393
60502,41.78911,-88.25952
60503,41.7079,-88.25475
60504,41.74649,-88.23957
60505,41.76527,-88.29576
60506,41.76176,-88.37125
60510,41.84283,-88.31189
60511,41.75778,-88.55601
60512,41.70134,-88.43986
60513,41.82459,-87.8469
60514,41.79655,-87.95683
60515,41.80991,-88.0247
60516,41.76327,-88.01314
60517,41.73913,-88.04161
60518,41.59997,-88.92215
60519,41.77724,-88.24255
60520,41.7826,-88.65808
60521,41.80019,-87.92883
60523,41.83713,-87.95406
60525,41.78371,-87.86778
60526,41.83002,-87.8836
60527,41.74472,-87.93383
60530,41.79613,-88.95988
60531,41.61563,-88.78639
60532,41.79153,-88.08576
60534,41.81311,-87.82066
60536,41.59853,-88.55212
60537,41.56158,-88.60246
60538,41.72165,-88.35637
60539,41.825,-88.33529
60540,41.76361,-88.14476
60541,41.5193,-88.52552
60542,41.80878,-88.3489
60543,41.66537,-88.32442
60544,41.61393,-88.21777
60545,41.67815,-88.53587
60546,41.83834,-87.82132
60548,41.64811,-88.63471
60549,41.4908,-88.74251
60550,41.77708,-88.87777
60551,41.52463,-88.68992
60552,41.66144,-88.70343
60553,41.82399,-89.02806
60554,41.77852,-88.45838
60555,41.82261,-88.18854
60556,41.76507,-88.77373
60557,41.44383,-88.76654
60558,41.80207,-87.90076
60559,41.79496,-87.97464
60560,41.60799,-88.42841
60561,41.74518,-87.98174
60563,41.79933,-88.16884
60564,41.70901,-88.19961
60565,41.7297,-88.12312
60585,41.65864,-88.22339
60586,41.57036,-88.23162
60601,41.88527,-87.62197
60602,41.88304,-87.62906
60603,41.88018,-87.6274
60604,41.87799,-87.62928
60605,41.86644,-87.61956
60606,41.88178,-87.63724
60607,41.87467,-87.65175
60608,41.84887,-87.67139
60609,41.81263,-87.65559
60610,41.90388,-87.63738
60611,41.89483,-87.61944
60612,41.8805,-87.68783
60613,41.9558,-87.65706
60614,41.92267,-87.6506
60615,41.80226,-87.60293
60616,41.84502,-87.62745
60617,41.71337,-87.55618
60618,41.94694,-87.70263
60619,41.74346,-87.60532
60620,41.74096,-87.65257
60621,41.77624,-87.63955
60622,41.90267,-87.68355
60623,41.84793,-87.71753
60624,41.88045,-87.72366
60625,41.97318,-87.69963
60626,42.00904,-87.66955
60628,41.69165,-87.61828
60629,41.7754,-87.71239
60630,41.97222,-87.75758
60631,41.99473,-87.8131
60632,41.81141,-87.71348
60633,41.66315,-87.56044
60634,41.94627,-87.80639
60636,41.77578,-87.66909
60637,41.78156,-87.6032
60638,41.78175,-87.77057
60639,41.9206,-87.75593
60640,41.97253,-87.66372
60641,41.94667,-87.74693
60642,41.90193,-87.65804
60643,41.70026,-87.663
60644,41.88013,-87.75756
60645,42.00859,-87.69457
60646,41.99365,-87.76128
60647,41.92074,-87.702
60649,41.75885,-87.56368
60651,41.90202,-87.74104
60652,41.74744,-87.71445
60653,41.81924,-87.61017
60654,41.89209,-87.63673
60655,41.69479,-87.70374
60656,41.97424,-87.82709
60657,41.93965,-87.65495
60659,41.98946,-87.70668
60660,41.99113,-87.66609
60661,41.88291,-87.64409
60706,41.96384,-87.81672
60707,41.92175,-87.80744
60712,42.00543,-87.73296
60714,42.02834,-87.81131
60803,41.67233,-87.73652
60804,41.84005,-87.75925
60805,41.72201,-87.70243
60827,41.64967,-87.63013
60901,41.11029,-87.90049
60910,41.06426,-87.79991
60911,40.87856,-87.98059
60912,40.97252,-87.60245
60913,41.14835,-88.06206
60914,41.18706,-87.86194
60915,41.14758,-87.86039
60917,41.04644,-88.19179
60918,40.59681,-88.02968
60919,40.98753,-88.24012
60920,41.03021,-88.30378
60921,40.73513,-88.28894
60922,41.00394,-87.92184
60924,40.55855,-87.88454
60926,40.56937,-87.81208
60927,40.93933,-87.96744
60928,40.74568,-87.85078
60929,40.87601,-88.29242
60930,40.83231,-88.00286
60931,40.8919,-87.58654
60932,40.46513,-87.80013
60933,40.46258,-88.27381
60934,40.96119,-88.34862
60935,41.17165,-88.16853
60936,40.46456,-88.36103
60938,40.77456,-87.98355
